id,Name,Postavshikid,count,idClient
1,brick,1,10134,2
2,wood,2,3040,3
3,stone,3,23450,4
4,brick,1,10134,2
5,wood,2,3040,3
6,stone,3,23450,4
7,brick,1,10134,2
8,wood,2,3040,3
9,stone,3,23450,4
10,brick,1,10134,2
11,wood,2,3040,3
12,stone,3,23450,4
13,brick,1,10134,2
14,wood,2,3040,3
15,stone,3,23450,4
16,brick,1,10134,2
17,wood,2,3040,3
18,stone,3,23450,4
19,brick,1,10134,2
20,wood,2,3040,3
21,stone,3,23450,4
22,brick,1,10134,2
23,wood,2,3040,3
24,stone,3,23450,4
25,brick,1,10134,2
26,wood,2,3040,3
27,stone,3,23450,4
28,brick,1,10134,2
29,wood,2,3040,3
30,stone,3,23450,4
31,brick,1,10134,2
32,wood,2,3040,3
33,stone,3,23450,4
34,brick,1,10134,2
35,wood,2,3040,3
36,stone,3,23450,4
37,brick,1,10134,2
38,wood,2,3040,3
39,stone,3,23450,4
40,brick,1,10134,2
41,wood,2,3040,3
42,stone,3,23450,4
43,brick,1,10134,2
44,wood,2,3040,3
45,stone,3,23450,4
46,brick,1,10134,2
47,wood,2,3040,3
48,stone,3,23450,4
49,brick,1,10134,2
50,wood,2,3040,3
51,stone,3,23450,4
52,brick,1,10134,2
53,wood,2,3040,3
54,stone,3,23450,4
55,brick,1,10134,2
56,wood,2,3040,3
57,stone,3,23450,4
58,brick,1,10134,2
59,wood,2,3040,3
60,stone,3,23450,4
61,brick,1,10134,2
62,wood,2,3040,3
63,stone,3,23450,4
